,activation_hidden,activation_out,batch_size,hidden_layer_sizes,lambd,learning_rate_init,weights_bound,weights_dist
0,logistic,tanh,1,[4],0,0.0001,0.7,uniform
1,tanh,tanh,8,[4],0,0.0001,,
2,logistic,tanh,32,[4],0,0.01,,
3,logistic,logistic,16,[4],0,0.01,0.7,uniform
4,logistic,logistic,1,[4],0,0.001,0.7,uniform
5,logistic,logistic,8,[4],0,0.005,0.7,uniform
6,tanh,logistic,8,[4],0,0.001,0.7,uniform
7,logistic,tanh,8,[4],0,0.001,0.7,uniform
8,tanh,logistic,16,[4],0,0.005,0.7,uniform
9,logistic,tanh,32,[4],0,0.005,0.7,uniform
10,tanh,tanh,32,[4],0,0.001,0.7,uniform
11,tanh,logistic,32,[4],0,0.005,0.7,uniform
12,tanh,tanh,32,[4],0,0.001,,
13,logistic,logistic,8,[4],0,0.01,0.7,uniform
14,tanh,logistic,16,[4],0,0.001,,
15,logistic,tanh,16,[4],0,0.001,0.7,uniform
16,tanh,logistic,32,[4],0,0.005,,
17,tanh,logistic,32,[4],0,0.01,0.7,uniform
18,logistic,logistic,32,[4],0,0.05,0.7,uniform
19,tanh,logistic,16,[4],0,0.01,0.7,uniform
20,tanh,logistic,32,[4],0,0.001,,
21,tanh,logistic,8,[4],0,0.001,,
22,logistic,logistic,1,[4],0,0.001,,
23,logistic,logistic,32,[4],0,0.05,,
24,tanh,logistic,1,[4],0,0.0001,,
25,logistic,logistic,8,[4],0,0.01,,
26,logistic,logistic,16,[4],0,0.05,,
27,tanh,tanh,1,[4],0,0.0001,0.7,uniform
28,logistic,tanh,32,[4],0,0.01,0.7,uniform
29,tanh,tanh,16,[4],0,0.001,,
30,tanh,tanh,16,[4],0,0.001,0.7,uniform
31,logistic,tanh,8,[4],0,0.005,,
32,logistic,tanh,8,[4],0,0.01,,
33,logistic,tanh,16,[4],0,0.005,0.7,uniform
34,tanh,tanh,8,[4],0,0.001,,
35,logistic,logistic,1,[4],0,0.005,,
36,tanh,logistic,8,[4],0,0.005,0.7,uniform
37,logistic,tanh,8,[4],0,0.001,,
38,logistic,tanh,1,[4],0,0.001,,
39,logistic,logistic,16,[4],0,0.05,0.7,uniform
40,tanh,logistic,8,[4],0,0.01,,
41,tanh,logistic,32,[4],0,0.05,0.7,uniform
42,tanh,tanh,8,[4],0,0.001,0.7,uniform
43,tanh,tanh,1,[4],0,0.0001,,
44,tanh,logistic,32,[4],0,0.01,,
45,logistic,tanh,16,[4],0,0.005,,
46,tanh,logistic,16,[4],0,0.005,,
47,tanh,logistic,16,[4],0,0.01,,
48,tanh,tanh,32,[4],0,0.005,,
49,tanh,logistic,1,[4],0,0.01,0.7,uniform
50,tanh,logistic,1,[4],0,0.01,,
51,tanh,tanh,1,[4],0,0.005,,
52,logistic,tanh,1,[4],0,0.05,0.7,uniform
53,logistic,logistic,1,[4],0,0.05,,
54,tanh,tanh,1,[4],0,0.01,0.7,uniform
55,tanh,tanh,1,[4],0,0.01,,
56,logistic,logistic,1,[4],0,0.01,0.7,uniform
57,logistic,tanh,16,[4],0,0.01,0.7,uniform
58,logistic,tanh,32,[4],0,0.05,,
59,tanh,logistic,1,[4],0,0.001,0.7,uniform
60,tanh,logistic,8,[4],0,0.01,0.7,uniform
61,tanh,logistic,16,[4],0,0.05,,
62,tanh,tanh,16,[4],0,0.005,0.7,uniform
63,logistic,logistic,1,[4],0,0.005,0.7,uniform
64,tanh,logistic,1,[4],0,0.001,,
65,logistic,tanh,8,[4],0,0.005,0.7,uniform
66,tanh,tanh,16,[4],0,0.01,0.7,uniform
67,logistic,tanh,16,[4],0,0.01,,
68,tanh,tanh,32,[4],0,0.005,0.7,uniform
69,tanh,logistic,16,[4],0,0.05,0.7,uniform
70,logistic,tanh,16,[4],0,0.05,,
71,tanh,logistic,8,[4],0,0.005,,
72,tanh,logistic,1,[4],0,0.005,0.7,uniform
73,logistic,logistic,1,[4],0,0.01,,
74,logistic,tanh,32,[4],0,0.005,,
75,tanh,logistic,1,[4],0,0.005,,
76,tanh,tanh,1,[4],0,0.001,0.7,uniform
77,logistic,logistic,8,[4],0,0.05,0.7,uniform
78,tanh,tanh,32,[4],0,0.01,0.7,uniform
79,logistic,tanh,1,[4],0,0.001,0.7,uniform
80,tanh,tanh,8,[4],0,0.05,0.7,uniform
81,logistic,tanh,1,[4],0,0.01,,
82,logistic,logistic,1,[4],0,0.05,0.7,uniform
83,tanh,logistic,8,[4],0,0.05,0.7,uniform
84,logistic,logistic,8,[4],0,0.05,,
85,tanh,tanh,32,[4],0,0.01,,
86,tanh,tanh,8,[4],0,0.005,,
87,logistic,tanh,8,[4],0,0.05,0.7,uniform
88,logistic,tanh,32,[4],0,0.05,0.7,uniform
89,tanh,tanh,16,[4],0,0.01,,
90,tanh,logistic,32,[4],0,0.05,,
91,tanh,logistic,8,[4],0,0.05,,
92,tanh,tanh,8,[4],0,0.05,,
93,tanh,tanh,32,[4],0,0.05,,
94,logistic,tanh,16,[4],0,0.05,0.7,uniform
95,tanh,tanh,16,[4],0,0.05,,
96,tanh,tanh,8,[4],0,0.01,0.7,uniform
97,logistic,tanh,1,[4],0,0.005,,
98,tanh,tanh,8,[4],0,0.005,0.7,uniform
99,tanh,tanh,8,[4],0,0.01,,
100,tanh,tanh,1,[4],0,0.001,,
101,logistic,tanh,1,[4],0,0.005,0.7,uniform
102,logistic,tanh,1,[4],0,0.01,0.7,uniform
103,logistic,tanh,8,[4],0,0.05,,
104,tanh,tanh,16,[4],0,0.005,,
105,tanh,tanh,32,[4],0,0.05,0.7,uniform
106,logistic,tanh,8,[4],0,0.01,0.7,uniform
107,tanh,tanh,1,[4],0,0.005,0.7,uniform
108,tanh,logistic,1,[4],0,0.05,,
109,tanh,tanh,16,[4],0,0.05,0.7,uniform
110,tanh,logistic,1,[4],0,0.05,0.7,uniform
111,logistic,logistic,8,[4],0,0.005,,
112,logistic,logistic,16,[4],0,0.005,0.7,uniform
113,logistic,tanh,1,[4],0,0.0001,,
114,logistic,logistic,16,[4],0,0.01,,
115,logistic,tanh,1,[4],0,0.05,,
116,tanh,logistic,1,[4],0,0.0001,0.7,uniform
117,logistic,logistic,32,[4],0,0.01,0.7,uniform
118,tanh,tanh,8,[4],0,0.0001,0.7,uniform
119,tanh,tanh,16,[4],0,0.0001,,
120,logistic,logistic,16,[4],0,0.005,,
121,logistic,tanh,32,[4],0,0.001,0.7,uniform
122,tanh,logistic,16,[4],0,0.001,0.7,uniform
123,logistic,tanh,16,[4],0,0.001,,
124,logistic,logistic,32,[4],0,0.01,,
125,logistic,logistic,8,[4],0,0.001,0.7,uniform
126,tanh,tanh,16,[4],0,0.0001,0.7,uniform
127,tanh,logistic,8,[4],0,0.0001,,
128,tanh,logistic,32,[4],0,0.001,0.7,uniform
129,logistic,tanh,8,[4],0,0.0001,0.7,uniform
130,logistic,logistic,32,[4],0,0.005,,
131,tanh,tanh,32,[4],0,0.0001,,
132,logistic,logistic,32,[4],0,0.005,0.7,uniform
133,logistic,tanh,32,[4],0,0.001,,
134,tanh,tanh,1,[4],0,0.05,0.7,uniform
135,tanh,tanh,32,[4],0,0.0001,0.7,uniform
136,logistic,logistic,1,[4],0,0.0001,0.7,uniform
137,logistic,logistic,8,[4],0,0.001,,
138,tanh,logistic,8,[4],0,0.0001,0.7,uniform
139,tanh,logistic,32,[4],0,0.0001,,
140,logistic,logistic,32,[4],0,0.001,,
141,logistic,logistic,16,[4],0,0.001,0.7,uniform
142,tanh,logistic,16,[4],0,0.0001,,
143,tanh,tanh,1,[4],0,0.05,,
144,logistic,logistic,32,[4],0,0.001,0.7,uniform
145,logistic,logistic,1,[4],0,0.0001,,
146,logistic,logistic,8,[4],0,0.0001,,
147,tanh,logistic,16,[4],0,0.0001,0.7,uniform
148,logistic,tanh,8,[4],0,0.0001,,
149,tanh,logistic,32,[4],0,0.0001,0.7,uniform
150,logistic,logistic,16,[4],0,0.001,,
151,logistic,tanh,32,[4],0,0.0001,,
152,logistic,logistic,16,[4],0,0.0001,,
153,logistic,tanh,16,[4],0,0.0001,0.7,uniform
154,logistic,logistic,8,[4],0,0.0001,0.7,uniform
155,logistic,logistic,32,[4],0,0.0001,,
156,logistic,tanh,32,[4],0,0.0001,0.7,uniform
157,logistic,tanh,16,[4],0,0.0001,,
158,logistic,logistic,32,[4],0,0.0001,0.7,uniform
159,logistic,logistic,16,[4],0,0.0001,0.7,uniform
